Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
ba60ff9c-dec0-a4cc-a0cc-09e41c9a53b6,1990-08-01,,999-38-7836,S99927973,X678828X,Mr.,Timmy68,Corey514,Champlin946,,,M,white,nonhispanic,M,Holden  Massachusetts  US,215 Windler Key Apt 18,Littleton,Massachusetts,Middlesex County,,00000,42.545116343256204,-71.49947020146318,78771.51,17392.03,996332
245a06af-8178-42ae-43e6-a9e367774ddc,1955-09-22,1991-02-07,999-45-5265,S99993350,X39403411X,Mr.,Toney527,Wilford267,Romaguera67,,,M,asian,nonhispanic,M,Hanover  Massachusetts  US,975 Pacocha Forge Apt 85,Hanson,Massachusetts,Plymouth County,25023,02341,42.03254359685154,-70.90855943493378,73496.98,24995.81,26373
986ae92c-5efc-b2c8-2fcf-756e7570ede1,1997-03-21,,999-22-1116,S99912864,X25089152X,Mr.,Dylan44,,Mann644,,,M,white,nonhispanic,M,Malden  Massachusetts  US,793 Auer Fort Suite 3,Wellesley,Massachusetts,Norfolk County,25021,02482,42.31388929582343,-71.24635827449605,58278.81,79012.67,193058
e40484d0-1776-121f-e445-ee650c5f7018,1954-01-18,1996-10-17,999-74-6743,S99911548,X21051065X,Mr.,Pierre431,Eldridge510,Oberbrunner298,,,M,white,nonhispanic,M,Gloucester  Massachusetts  US,951 Casper Trafficway Unit 76,Revere,Massachusetts,Suffolk County,25025,02151,42.40864271789606,-70.97938071988841,125743.57,0.00,59922
8e781f28-d0fc-b6bf-b367-73cecf141a9c,1989-11-15,,999-91-3686,S99997789,X65094642X,Mrs.,Perry780,,O'Conner199,,Walsh511,M,white,nonhispanic,F,Acushnet  Massachusetts  US,263 Langworth Hollow,Norwood,Massachusetts,Norfolk County,25021,02062,42.154362048161914,-71.16300257960245,142977.05,184147.76,737428
b3bd54d5-257e-1959-c3c8-2782a4e253bf,1978-06-24,,999-35-7073,S99977580,X54090966X,Mrs.,Mariam937,Clarisa227,Witting912,,Feest103,M,asian,hispanic,F,Salem  Massachusetts  US,277 Eichmann Plaza,Auburn,Massachusetts,Worcester County,,00000,42.151188969176836,-71.87181190049166,282408.94,732957.99,134956
ca69f618-3f53-eac3-6fc1-6c401c8bcfd1,1989-01-23,,999-43-4533,S99988604,X74342902X,Mrs.,Elwanda490,,Stiedemann542,,Howe413,M,white,nonhispanic,F,Acushnet Center  Massachusetts  US,613 Zemlak Crossroad Suite 23,Plymouth,Massachusetts,Plymouth County,25023,02360,41.86445587643816,-70.59960018898384,154748.42,666818.93,195167
9a3f2536-2ec6-6bec-83b2-583cd2c24138,1964-03-25,,999-90-5407,S99912789,X76527514X,Mr.,Norris589,Elliot577,Stokes453,,,D,white,hispanic,M,Worcester  Massachusetts  US,361 Miller Annex Suite 34,Westfield,Massachusetts,Hampden County,25013,01085,42.127290878936975,-72.78146106668474,140414.82,21285.19,92321
ccaf1035-993c-1d10-5b33-9cb00a4d7090,2003-09-23,,999-15-9294,S99931835,X14235418X,Ms.,Maryetta775,Michiko564,Hudson301,,,,white,nonhispanic,F,Lexington  Massachusetts  US,137 Zemlak Arcade Suite 77,Everett,Massachusetts,Middlesex County,25017,02149,42.385534339791754,-71.04762200309412,102724.99,174866.03,33256
5dcce4d7-858f-b464-603d-d3d7217ba484,1961-06-17,2019-08-13,999-31-1821,S99991921,X54973323X,Mr.,Werner409,Ambrose149,Conroy74,,,M,black,nonhispanic,M,Saugus  Massachusetts  US,319 Little Wall Suite 6,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.975669384201666,-70.93524533466696,180183.07,411649.87,33092
7463306b-5820-9425-6f97-92f6c916339f,2014-09-23,,999-57-9289,,,,Jacques50,Gilberto712,Kuphal363,,,,white,nonhispanic,M,Plymouth  Massachusetts  US,1026 Mohr Fort,Framingham,Massachusetts,Middlesex County,25017,01701,42.28945923404854,-71.43969527542947,33801.55,12170.42,33133
3910ba56-de70-9fa2-7f1f-24e3bd35b816,2004-09-10,,999-10-2016,S99977917,X8759989X,Mr.,Cedrick207,,Ledner144,,,,white,nonhispanic,M,Waltham  Massachusetts  US,322 Raynor Neck Unit 11,Amherst,Massachusetts,Hampshire County,,00000,42.41202820661233,-72.54220662907841,4322.03,60814.00,1212
f8bfe350-495f-c503-46f3-39e3976af005,1985-09-21,,999-48-3909,S99956798,X70016253X,Mr.,Timmy68,Brendan864,Becker968,,,S,white,nonhispanic,M,Mashpee  Massachusetts  US,485 Rowe Throughway Suite 24,Salem,Massachusetts,Essex County,25009,01970,42.50300650890256,-70.88463970052408,100017.74,35324.45,98466
5eeb2e41-b597-0f14-4423-19a1fc2654c4,1923-03-22,1982-12-25,999-52-6584,S99923612,X39268545X,Mr.,Harrison106,Carroll471,Russel238,,,M,white,nonhispanic,M,Boston  Massachusetts  US,833 Kilback Club,Ashland,Massachusetts,Middlesex County,,00000,42.29722402356212,-71.4435657320755,227047.91,0.00,44177
181a6100-d3ae-5ce5-2cc7-621ef3d3d8f7,2004-04-25,,999-83-8234,S99916088,X35424047X,Ms.,Sacha430,Chantelle310,Mertz280,,,,white,nonhispanic,F,Boston  Massachusetts  US,1056 Prohaska Frontage road Unit 42,Salem,Massachusetts,Essex County,25009,01970,42.52088339201704,-70.93913629401398,96928.47,613751.15,68962
2dad33f1-7456-8b66-4b71-c21737b1f292,2011-06-27,,999-16-1540,,,,Elinor7,Marylynn944,Cummings51,,,,white,nonhispanic,F,Kingston  Massachusetts  US,1069 Swaniawski Trafficway,Sturbridge,Massachusetts,Worcester County,25027,01566,42.154310478891674,-71.96648756167531,6753.33,598986.42,136756
4f22c1ca-6944-9fe6-978d-a6cc5def924b,1923-03-22,1927-04-29,999-72-3737,,,,Domingo513,Ian270,Hermann103,,,,white,nonhispanic,M,Boston  Massachusetts  US,404 Kohler Path Apt 64,Ashland,Massachusetts,Middlesex County,,00000,42.268741776991114,-71.48497293131044,23606.06,22769.18,44177
